,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,Fantasias,"Rauw Alejandro",665408,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
165,"Old Town Road - Remix","Lil Nas X",664296,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
166,Wow.,"Post Malone",662639,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
167,"Money In The Grave (Drake ft. Rick Ross)",Drake,657002,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
168,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",656094,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
169,"Deep End Freestyle","Sleepy Hallow",653675,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
170,"After Hours","The Weeknd",653176,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
171,Heartless,"The Weeknd",652893,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
172,"All of Me","John Legend",651103,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
173,"Be Something (feat. Lil Baby)","Polo G",649738,https://open.spotify.com/track/65jw6GhwQW3Db55PxlPEpS
174,"I Like Me Better",Lauv,648503,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
175,Moonlight,XXXTENTACION,645971,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
176,Airwaves,Pashanim,645354,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
177,Callaita,"Bad Bunny",643984,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
178,Muévelo,"Nicky Jam",640262,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
179,"thank u, next","Ariana Grande",637597,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
180,"Piece Of Your Heart",MEDUZA,637357,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
